rho,phi,dphi_drho,potential,euclidean_action_density,cumulative_action
7.4600,0.000000,0.000000,0.850000,0.000000,137.147820
7.4800,0.000000,0.000000,0.850000,0.000000,137.147820
7.5000,0.000000,0.000000,0.850000,0.000000,137.147820
7.5200,0.000000,0.000000,0.850000,0.000000,137.147820
7.5400,0.000000,0.000000,0.850000,0.000000,137.147820
7.5600,0.000000,0.000000,0.850000,0.000000,137.147820
7.5800,0.000000,0.000000,0.850000,0.000000,137.147820
7.6000,0.000000,0.000000,0.850000,0.000000,137.147820
7.6200,0.000000,0.000000,0.850000,0.000000,137.147820
7.6400,0.000000,0.000000,0.850000,0.000000,137.147820
7.6600,0.000000,0.000000,0.850000,0.000000,137.147820
7.6800,0.000000,0.000000,0.850000,0.000000,137.147820
7.7000,0.000000,0.000000,0.850000,0.000000,137.147820
7.7200,0.000000,0.000000,0.850000,0.000000,137.147820
7.7400,0.000000,0.000000,0.850000,0.000000,137.147820
7.7600,0.000000,0.000000,0.850000,0.000000,137.147820
7.7800,0.000000,0.000000,0.850000,0.000000,137.147820
7.8000,0.000000,0.000000,0.850000,0.000000,137.147820
7.8200,0.000000,0.000000,0.850000,0.000000,137.147820
7.8400,0.000000,0.000000,0.850000,0.000000,137.147820
7.8600,0.000000,0.000000,0.850000,0.000000,137.147820
7.8800,0.000000,0.000000,0.850000,0.000000,137.147820
7.9000,0.000000,0.000000,0.850000,0.000000,137.147820
7.9200,0.000000,0.000000,0.850000,0.000000,137.147820
7.9400,0.000000,0.000000,0.850000,0.000000,137.147820
7.9600,0.000000,0.000000,0.850000,0.000000,137.147820
7.9800,0.000000,0.000000,0.850000,0.000000,137.147820
8.0000,0.000000,0.000000,0.850000,0.000000,137.147820
8.0200,0.000000,0.000000,0.850000,0.000000,137.147820
8.0400,0.000000,0.000000,0.850000,0.000000,137.147820
8.0600,0.000000,0.000000,0.850000,0.000000,137.147820
8.0800,0.000000,0.000000,0.850000,0.000000,137.147820
8.1000,0.000000,0.000000,0.850000,0.000000,137.147820
8.1200,0.000000,0.000000,0.850000,0.000000,137.147820
8.1400,0.000000,0.000000,0.850000,0.000000,137.147820
8.1600,0.000000,0.000000,0.850000,0.000000,137.147820
8.1800,0.000000,0.000000,0.850000,0.000000,137.147820
8.2000,0.000000,0.000000,0.850000,0.000000,137.147820
8.2200,0.000000,0.000000,0.850000,0.000000,137.147820
8.2400,0.000000,0.000000,0.850000,0.000000,137.147820
8.2600,0.000000,0.000000,0.850000,0.000000,137.147820
8.2800,0.000000,0.000000,0.850000,0.000000,137.147820
8.3000,0.000000,0.000000,0.850000,0.000000,137.147820
8.3200,0.000000,0.000000,0.850000,0.000000,137.147820
8.3400,0.000000,0.000000,0.850000,0.000000,137.147820
8.3600,0.000000,0.000000,0.850000,0.000000,137.147820
8.3800,0.000000,0.000000,0.850000,0.000000,137.147820
8.4000,0.000000,0.000000,0.850000,0.000000,137.147820
8.4200,0.000000,0.000000,0.850000,0.000000,137.147820
8.4400,0.000000,0.000000,0.850000,0.000000,137.147820
8.4600,0.000000,0.000000,0.850000,0.000000,137.147820
8.4800,0.000000,0.000000,0.850000,0.000000,137.147820
8.5000,0.000000,0.000000,0.850000,0.000000,137.147820
8.5200,0.000000,0.000000,0.850000,0.000000,137.147820
8.5400,0.000000,0.000000,0.850000,0.000000,137.147820
8.5600,0.000000,0.000000,0.850000,0.000000,137.147820
8.5800,0.000000,0.000000,0.850000,0.000000,137.147820
8.6000,0.000000,0.000000,0.850000,0.000000,137.147820
8.6200,0.000000,0.000000,0.850000,0.000000,137.147820
8.6400,0.000000,0.000000,0.850000,0.000000,137.147820
8.6600,0.000000,0.000000,0.850000,0.000000,137.147820
8.6800,0.000000,0.000000,0.850000,0.000000,137.147820
8.7000,0.000000,0.000000,0.850000,0.000000,137.147820
8.7200,0.000000,0.000000,0.850000,0.000000,137.147820
8.7400,0.000000,0.000000,0.850000,0.000000,137.147820
8.7600,0.000000,0.000000,0.850000,0.000000,137.147820
8.7800,0.000000,0.000000,0.850000,0.000000,137.147820
8.8000,0.000000,0.000000,0.850000,0.000000,137.147820
8.8200,0.000000,0.000000,0.850000,0.000000,137.147820
8.8400,0.000000,0.000000,0.850000,0.000000,137.147820
8.8600,0.000000,0.000000,0.850000,0.000000,137.147820
8.8800,0.000000,0.000000,0.850000,0.000000,137.147820
8.9000,0.000000,0.000000,0.850000,0.000000,137.147820
8.9200,0.000000,0.000000,0.850000,0.000000,137.147820
8.9400,0.000000,0.000000,0.850000,0.000000,137.147820
8.9600,0.000000,0.000000,0.850000,0.000000,137.147820
8.9800,0.000000,0.000000,0.850000,0.000000,137.147820
9.0000,0.000000,0.000000,0.850000,0.000000,137.147820
