t,x_pos,y_pos,phi1,phi2,grad_sq,potential,temperature,energy_density,vorticity,attractor_id
0.0000,5.0,16.0,-0.014559,0.048800,0.004881,0.022462,2.500000,0.024902,-1,6
0.0000,5.0,17.0,-0.059862,0.060953,0.002712,0.062689,2.500000,0.064045,0,6
0.0000,5.0,18.0,0.005591,0.002082,0.001410,0.000312,2.500000,0.001017,0,10
0.0000,5.0,19.0,-0.059443,0.006682,0.000863,0.030759,2.500000,0.031190,1,6
0.0000,5.0,20.0,-0.046297,0.050657,0.002438,0.040752,2.500000,0.041971,0,6
0.0000,5.0,21.0,-0.009545,0.096279,0.003452,0.077829,2.500000,0.079555,0,6
0.0000,5.0,22.0,0.005134,0.031750,0.000373,0.009023,2.500000,0.009209,1,10
0.0000,5.0,23.0,0.008825,0.007307,0.003088,0.001151,2.500000,0.002695,0,10
0.0000,5.0,24.0,0.013988,0.069113,0.008079,0.042468,2.500000,0.046508,0,10
0.0000,5.0,25.0,0.005742,-0.078578,0.006653,0.052539,2.500000,0.055866,1,9
0.0000,5.0,26.0,-0.021886,-0.015839,0.000278,0.006388,2.500000,0.006527,0,5
0.0000,5.0,27.0,0.002471,-0.021441,0.000886,0.004076,2.500000,0.004519,0,9
0.0000,5.0,28.0,-0.045570,0.004266,0.002310,0.018159,2.500000,0.019314,-1,6
0.0000,5.0,29.0,-0.042347,-0.025775,0.006958,0.021375,2.500000,0.024854,0,5
0.0000,5.0,30.0,0.049579,0.075893,0.005830,0.070124,2.500000,0.073039,0,10
0.0000,5.0,31.0,-0.007600,0.003872,0.001498,0.000638,2.500000,0.001387,0,6
0.0000,5.0,32.0,0.005669,0.020453,0.001547,0.003943,2.500000,0.004716,0,10
0.0000,5.0,33.0,-0.060978,0.026809,0.005986,0.038201,2.500000,0.041194,-1,6
0.0000,5.0,34.0,-0.149786,-0.009843,0.019243,0.173296,2.500000,0.182917,1,5
0.0000,5.0,35.0,0.057847,0.003369,0.001992,0.028889,2.500000,0.029885,0,10
0.0000,5.0,36.0,-0.004376,0.009241,0.001871,0.000917,2.500000,0.001852,0,6
0.0000,5.0,37.0,0.068303,0.026324,0.003578,0.045885,2.500000,0.047674,0,10
0.0000,5.0,38.0,0.005907,0.051081,0.001786,0.022852,2.500000,0.023744,0,10
0.0000,5.0,39.0,-0.012477,-0.017775,0.003023,0.004132,2.500000,0.005643,-1,5
0.0000,5.0,40.0,0.012622,0.065365,0.001618,0.037957,2.500000,0.038766,0,10
0.0000,5.0,41.0,-0.010876,0.005919,0.002348,0.001344,2.500000,0.002518,1,6
0.0000,5.0,42.0,0.057392,0.015682,0.002809,0.030502,2.500000,0.031907,0,10
0.0000,5.0,43.0,0.005232,0.093859,0.012701,0.073644,2.500000,0.079995,-1,10
0.0000,5.0,44.0,-0.020363,-0.040966,0.002004,0.018209,2.500000,0.019211,1,5
0.0000,5.0,45.0,-0.038872,-0.003246,0.002225,0.013233,2.500000,0.014345,0,5
