idx,a_pot,b_pot,numerically_stable,w0_cpl_latetime,wa_cpl_latetime,chi2_bao,s_fit_bao,chi2_sn,offset_fit_sn,n_sn,chi2_total
264,84.63676461325682,0.0008778896906839,True,-0.9895838685449868,1.0151493908255271,503.8982931773477,0.04180025247159978,915.7287068495482,42.984537650402025,1590,1419.627000026896
265,0.02791001936455,0.002248169708802,True,-1.0000000000004987,2.7159883946366444e-12,5163.493662701852,0.062006639431128836,1320.3293954329242,42.93335685865328,1590,6483.823058134776
266,0.0291634464341062,0.1354135938456787,False,-1.0000000000002107,1.341620671293055e-12,5163.494093509134,0.06200664094064647,1320.3294086595024,42.933356857538264,1590,6483.823502168636
267,0.7572859823739024,0.3504483812833897,False,-0.9136573979917736,0.1097975246092598,3246.2971506074946,0.052070869314953756,1047.7559633106243,42.969547769293506,1590,4294.0531139181185
268,1.4700555376091633,0.0667501479200276,True,-1.0000000000420868,2.3839903801264413e-10,5163.4948507426125,0.062006643594040046,1320.329431918809,42.93335685557857,1590,6483.824282661421
269,0.0202456691449473,0.4421704978224087,True,-1.000000000010883,5.7597511139784274e-11,5163.470872329954,0.06200655957733895,1320.3286955358508,42.93335691758421,1590,6483.799567865804
270,6.011342140722338,0.3375913335343752,True,-0.9999999999999998,3.6215570039691575e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
271,0.0249150345215458,0.0002342233182388,True,-1.0000000000016098,8.604455656627363e-12,5163.491215982143,0.062006630857952556,1320.3293203057115,42.933356864983075,1590,6483.820536287854
272,23.704767019831397,0.0693495729257299,True,-1.0000000000006897,4.741171219275737e-12,5163.494851784399,0.06200664359763972,1320.3294319474107,42.93335685557621,1590,6483.824283731809
273,20.963695917610774,0.0023146106658038,False,-1.05665836194308,0.4013018330334096,3305.761577314779,0.05541897466804225,1246.059938183437,42.93982276391168,1590,4551.821515498216
274,0.0483001864158363,0.4594616375391288,True,-1.0000000000000002,3.2374922651647367e-15,5163.4948498155845,0.06200664359074155,1320.3294318870257,42.933356855581316,1590,6483.82428170261
275,0.6999796596561091,0.0441578829416413,True,-1.0000001285908655,8.768268254437728e-07,5163.490373333567,0.06200662764823814,1320.3292833446505,42.93335686984702,1590,6483.819656678217
276,0.5878799812750958,0.0399448022702107,True,-1.0000026969075548,1.70047456566905e-05,5163.409197288027,0.0620063428576227,1320.3268905467244,42.933357087725355,1590,6483.736087834752
277,1.1714782654069538,0.8920147863284336,True,-0.9999999999697426,8.741897201009745e-12,5163.494851314316,0.06200664359498374,1320.3294318704839,42.93335685558734,1590,6483.8242831848
278,1.2438178930636847,0.1195234469029164,True,-1.000000000000009,5.847197872366468e-14,5163.494851809717,0.062006643597728756,1320.3294319482184,42.93335685557614,1590,6483.8242837579355
279,0.2415681285046496,0.0067477197001148,True,-0.9999999999999996,-3.876427140500999e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
280,1.6652458964024353,0.0002162931674191,False,-0.4142642572442238,0.6353660794058053,166.0385914447204,0.028890571892980547,778.692033554026,43.132435264835784,1590,944.7306249987464
281,0.217805006222942,0.0027119587342743,True,-1.0000000000000002,-3.141903972089389e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
282,3.4714217520576933,0.0004276423734589,True,-0.694151106969398,0.954542950540572,16.672122654385387,0.03321402697546778,687.209783100074,43.0610031065902,1590,703.8819057544594
283,0.1246272703521037,0.0069301784208952,True,-0.9999999999999996,4.824235344092e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
284,18.287444518436534,0.0050686143643404,False,-1.0059902150313027,0.0363299383214082,4992.9604929610805,0.061408571066090656,1314.937330679917,42.93379629591771,1590,6307.897823640998
285,1.4269277136084328,0.3101648230458584,True,-0.9999999999999996,-8.275185401728142e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
286,0.851383395262984,0.0622622937081421,True,-1.000000000893709,5.85310620946638e-09,5163.49482289823,0.06200664349521825,1320.3294309877174,42.93335685565047,1590,6483.824253885948
287,40.063015945901896,0.0013724301647644,False,-1.067704492104291,0.8193042126601046,1418.5460813534712,0.04773103677044613,1097.9381440888224,42.956133989975925,1590,2516.484225442294
288,5.17596697637062,0.0050232676811305,True,-1.007332247818645,0.0455930944524428,4943.570041818342,0.06123434456320208,1313.2864896808687,42.93393338565912,1590,6256.856531499211
289,0.0127653373626335,0.0343361607521277,True,-1.000000000293641,1.7306962922907734e-09,5162.657752226858,0.06200371053817341,1320.3037173184218,42.93335901910305,1590,6482.96146954528
290,1.759053507046654,0.0116002963131645,False,-1.000213940863933,0.0013266667032267,5156.970050874832,0.061983764970720855,1320.1286841045696,42.93337302204566,1590,6477.098734979401
291,0.1593815864916962,0.2651602674517875,True,-1.0,5.94357541535242e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
292,1.002457819117854,0.4176768968537642,True,-1.0,5.230084938059425e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
293,0.917972335882534,0.1069831206308874,True,-1.0000000000006364,3.764377939310748e-12,5163.494851792515,0.06200664359766864,1320.329431947673,42.93335685557619,1590,6483.824283740188
294,0.0340556695061069,0.215106850977168,True,-1.0000000000000349,2.4016420172543773e-13,5163.494708946611,0.062006643097156776,1320.3294275579074,42.93335685594542,1590,6483.824136504519
295,39.307362390871816,0.0739290412778093,True,-1.0000000000003977,2.1420799706910697e-12,5163.494851801295,0.06200664359769976,1320.329431947989,42.933356855576164,1590,6483.824283749284
296,0.1859526551489283,0.001751290388904,False,-1.0,4.865006116751267e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
297,0.110952260410942,0.0055130881638051,True,-1.0,-9.434003090834629e-18,5163.494851810003,0.06200664359772973,1320.3294319482256,42.93335685557614,1590,6483.824283758228
298,0.0189477656009198,0.0009766428278078,False,-1.000000000018257,9.863963160571247e-11,5163.452784670458,0.062006496200251886,1320.328139872986,42.933356964335395,1590,6483.780924543444
