idx,mu_sym,c4_pta_product,c4_c0_ratio_split,pta_suppression_split,screening_suppression_factor,phi_center_ratio,numerically_stable,log10_ssf,log10_pcr,gamma_theta_0,gamma_theta_1,gamma_theta_2,gamma_theta_3,gamma_theta_4,gamma_theta_5,gamma_theta_6,gamma_theta_7,gamma_theta_8,gamma_theta_9,gamma_theta_10,gamma_theta_11,gamma_theta_12,gamma_theta_13,gamma_theta_14,pta_max_deviation_from_hd,wall_time_seconds,error
32,0.3010543892003884,699.8859381762521,139977.18763525042,0.005,4.9022712486150515e-05,1.2539810149229495e-14,True,-4.309602662378591,-13.901709038606272,700.0356338689927,521.4529226355274,134.18348372251833,-206.05562745327646,-293.2712759804974,-115.78783460380102,145.5641869674921,262.24728963969335,135.5602498432778,-127.24752095220775,-295.7049752856722,-195.282834815789,152.4297484759967,535.3410085718399,700.1359381762536,699.8859381762521,0.023873329162597656,
33,0.2528564073740438,0.0015980767844697404,0.3196153568939481,0.005,4.451594231329021e-05,1.1944552455474161e-14,True,-4.351484429046668,-13.922830117974316,0.5011936570926545,0.41016798428797907,0.2586408882708973,0.10465951687103185,-0.0227833020898269,-0.10874465175570688,-0.14825178565499184,-0.14372620121985322,-0.10275467414442696,-0.036171157741517246,0.043477719980536345,0.12318518474399252,0.19068644907093257,0.2357678219892908,0.25159807678596985,0.0015980767844697152,0.013328790664672852,
34,2.5802703747798965,6.174048271581773,1234.8096543163547,0.005,0.00035602768116578927,3.743107144458848e-14,True,-3.4485162343018554,-13.426767741258205,6.670557999692051,5.005370745915268,1.439756645372944,-1.7135181884445423,-2.609013071853795,-1.1289466771460732,1.1368216463901226,2.1703639763230966,1.0936903535316356,-1.15807898712328,-2.5647998078554246,-1.6001480249195354,1.5333197589265415,4.954991068267474,6.424048271583274,6.174048271581774,0.017396211624145508,
35,32.39254073939731,2.3710537607308224e-05,0.0047421075214616444,0.005,nan,nan,False,nan,nan,0.49962007793380253,0.4089959161631535,0.2583396288483124,0.10512326749188892,-0.022123649483868385,-0.10848443553960697,-0.14857956087752128,-0.14431644097112578,-0.10305984350316674,-0.035885000095375666,0.04414299616303773,0.12362474400356796,0.19034399242920355,0.23456412077569308,0.25002371053910744,2.371053760730213e-05,0.13408112525939941,
36,0.035521334764801155,427.4261791213982,85485.23582427963,0.005,3.0477168176409346e-05,9.873619450288188e-15,True,-4.5160253884641195,-14.00552361540136,427.71208823341084,318.61486032171956,82.0475402252079,-125.79896374998086,-179.11182265281923,-70.7548267620486,88.83942020340743,160.1004221386813,82.74765295302409,-77.7250902758518,-180.57230602875757,-119.21272711821331,93.16421589857376,327.0285251935526,427.6761791213996,427.42617912139815,0.0067827701568603516,
37,0.016236681765807805,0.0007538592295911721,0.15077184591823442,0.005,3.0225842370656982e-05,1.0252236591638483e-14,True,-4.519621586849979,-13.989181380125576,0.5003498615955513,0.4095394898137973,0.2584793448602547,0.10490819243556052,-0.022429578608279068,-0.10860511681703972,-0.14842754755122473,-0.1440427036605048,-0.10291831416806986,-0.0360177123098606,0.043834458975182324,0.1234208882495031,0.19050281460258153,0.23512236500152,0.2507538592310913,0.0007538592295911473,0.00565648078918457,
38,17.09871276131221,13.205679982063089,2641.1359964126177,0.005,nan,nan,False,nan,nan,13.698674319123802,10.240208198631375,2.7852792092306875,-3.784779292951029,-5.555236157621486,-2.2911569318158946,2.6007723968849543,4.806566677000973,2.4566759639373537,-2.4361521056342217,-5.53613961549391,-3.563362641865269,3.062842502599196,10.331112183888717,13.455679982064588,13.205679982063089,0.22006511688232422,
39,6.518761460259384,0.03505506465194531,7.011012930389061,0.005,0.0018890314122801165,1.5672078450589942e-13,True,-2.7237608202324854,-12.80487340303597,0.534633918487451,0.43507570135209434,0.26504297728066456,0.09480431391144681,-0.03680163440499573,-0.11427452817571102,-0.1412862071783946,-0.13118296724454184,-0.09626949475670182,-0.04225231764584339,0.029339880573201506,0.11384407441216202,0.19796402360627197,0.2613477764501178,0.28505506465344543,0.0350550646519453,0.026740550994873047,
40,0.7376973396167665,0.28652886891141044,57.30577378228209,0.005,9.084275031836333e-05,1.7190921423178638e-14,True,-4.041709725729194,-13.76470084476278,0.7859820010372061,0.6222903540979416,0.3131631991270239,0.020729343689598473,-0.14216806400208104,-0.1558389112556059,-0.08893061182963952,-0.03690386543231626,-0.047524738103885945,-0.08796033002007295,-0.0769248039182578,0.0436331946863041,0.2526646846888771,0.45361518816476987,0.5365288689129106,0.2865288689114105,0.02464604377746582,
41,0.4084723977127027,5.144134866111933e-05,0.010288269732223866,0.005,5.9218890623267404e-05,1.3798658442499383e-14,True,-4.227539732723588,-13.860163135290179,0.49964779488112615,0.4090165609145108,0.2583449352172355,0.1051150990108454,-0.02213526857301835,-0.10848901897547279,-0.1485737874605783,-0.14430604451664664,-0.10305446826481704,-0.03589004046233765,0.04413127802048208,0.12361700162799397,0.1903500244439554,0.23458532271074858,0.2500514413501613,5.144134866114092e-05,0.012740612030029297,
